Date,Open,High,Low,Close,Adj Close,Volume
2019-03-15,72.760002,73.500000,72.099998,73.459999,73.459999,2806200
2019-03-18,73.279999,73.910004,72.949997,73.680000,73.680000,2945300
2019-03-19,74.000000,74.059998,72.410004,72.589996,72.589996,4188100
2019-03-20,72.800003,72.930000,72.010002,72.059998,72.059998,3136200
2019-03-21,72.080002,72.739998,71.989998,72.260002,72.260002,2329200
2019-03-22,71.930000,72.470001,71.809998,71.900002,71.900002,3265900
2019-03-25,71.849998,72.410004,71.639999,72.309998,72.309998,1972400
2019-03-26,72.580002,73.360001,72.370003,73.339996,73.339996,2857200
2019-03-27,73.389999,73.790001,71.959999,72.239998,72.239998,4989700
2019-03-28,71.980003,72.250000,68.919998,69.150002,69.150002,5866500
2019-03-29,69.330002,69.489998,68.160004,69.099998,69.099998,5051900
2019-04-01,69.540001,70.040001,69.269997,69.970001,69.970001,3808300
2019-04-02,69.809998,70.160004,69.220001,69.730003,69.730003,3913300
2019-04-03,69.820000,70.019997,68.699997,69.000000,69.000000,3077500
2019-04-04,69.080002,70.129997,69.000000,70.050003,70.050003,3037100
2019-04-05,70.480003,70.750000,70.050003,70.349998,70.349998,3483100
2019-04-08,70.139999,71.239998,69.769997,71.230003,71.230003,4035400
2019-04-09,70.959999,71.660004,70.269997,71.419998,71.419998,2866800
2019-04-10,71.550003,72.330002,71.190002,72.160004,72.160004,2629900
2019-04-11,72.150002,73.010002,71.839996,73.000000,73.000000,2535700
2019-04-12,73.190002,73.879997,72.870003,73.709999,73.709999,2858700
2019-04-15,73.709999,73.849998,73.199997,73.790001,73.790001,2163766
