Date,Open,High,Low,Close,Adj Close,Volume
2019-03-15,115.339996,117.250000,114.589996,115.910004,115.910004,54681100
2019-03-18,116.169998,117.610001,116.050003,117.570000,117.570000,31207600
2019-03-19,118.089996,118.440002,116.989998,117.650002,117.650002,37588700
2019-03-20,117.389999,118.750000,116.709999,117.519997,117.519997,28113300
2019-03-21,117.139999,120.820000,117.089996,120.220001,120.220001,29854400
2019-03-22,119.500000,119.589996,117.040001,117.050003,117.050003,33624500
2019-03-25,116.559998,118.010002,116.320000,117.660004,117.660004,27067100
2019-03-26,118.620003,118.709999,116.849998,117.910004,117.910004,26097700
2019-03-27,117.879997,118.209999,115.519997,116.769997,116.769997,22733400
2019-03-28,117.440002,117.580002,116.129997,116.930000,116.930000,18334800
2019-03-29,118.070000,118.320000,116.959999,117.940002,117.940002,25399800
2019-04-01,118.949997,119.110001,118.099998,119.019997,119.019997,22789100
2019-04-02,119.059998,119.480003,118.519997,119.190002,119.190002,18142300
2019-04-03,119.860001,120.430000,119.150002,119.970001,119.970001,22860700
2019-04-04,120.099998,120.230003,118.379997,119.360001,119.360001,20112800
2019-04-05,119.389999,120.230003,119.370003,119.889999,119.889999,15826200
2019-04-08,119.809998,120.019997,118.639999,119.930000,119.930000,15116200
2019-04-09,118.629997,119.540001,118.580002,119.279999,119.279999,17612000
2019-04-10,119.760002,120.349998,119.540001,120.190002,120.190002,16477200
2019-04-11,120.540001,120.849998,119.919998,120.330002,120.330002,14209100
2019-04-12,120.639999,120.980003,120.370003,120.949997,120.949997,19726400
2019-04-15,120.940002,121.580002,120.570000,121.050003,121.050003,14698204
