Date,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2005-01-03,99.00562086700955,102.13528183058675,98.03261729820511,101.66884197543823,31656700.0
2005-01-04,100.97670541618558,101.77918258633358,97.03955180014694,97.5511309961163,27484200.0
2005-01-05,97.02450535320666,98.7548467513383,96.41261651096882,97.05459824708723,16456700.0
2005-01-06,97.92729216962317,98.25329851999581,94.15063398761414,94.56691901962843,20753400.0
2005-01-07,95.61515482313425,97.42574393828068,94.6822751128372,97.22512464574368,19306400.0
2005-01-10,97.5511309961163,99.3567046289493,96.21199721843183,97.8319980056681,15064100.0
2005-01-11,98.11286501521991,99.16110081872573,96.8890873307442,97.0696446940275,13903400.0
2005-01-12,97.46586779678809,98.26834496693608,95.5449380707463,97.9924934396977,16339200.0
2005-01-13,97.9924934396977,99.00060538469612,97.32543429201218,97.96741602813059,13685100.0
2005-01-14,98.30345334313004,100.31466175081347,97.36555815051958,100.29459982155977,19261300.0
2005-01-18,100.75602419439487,102.82741838983941,99.6375716385011,102.26568437073581,26318800.0
2005-01-19,102.63683006192925,102.96785189461531,98.65955258738323,98.9554660438753,22492800.0
2005-01-20,96.5881583919387,98.42884040096568,96.29726041776004,97.26023302193765,17985100.0
2005-01-21,97.52103810223575,97.98246247507086,94.35125328015116,94.43150099716595,18498200.0
2005-01-24,94.63713577201638,94.95812664007558,90.43917707567964,90.63979636821665,28017300.0
2005-01-25,91.38208775060355,91.40214967985725,88.41793770336936,88.83422273538365,21297000.0
2005-01-26,89.91255143277003,94.99825049858298,89.85236564500893,94.91298729925475,24591100.0
2005-01-27,94.67224414821034,94.7223989713446,92.88673244463104,94.33119135089746,13241500.0
2005-01-28,95.35936522514957,97.6514406423848,93.4584974283615,95.4646903537315,24391900.0
2005-01-31,97.14487692872888,98.48401070641336,96.15682691298414,98.11286501521991,19174200.0
2005-02-01,97.4909452083552,102.19045213603442,95.61013934082082,96.24710559462581,37640300.0
2005-02-02,108.10872126587594,108.73565655505406,102.1453127952136,103.29887372730136,65533000.0
2005-02-03,103.31392017424163,107.01534612154929,103.22364149259998,105.75646006087962,25950200.0
2005-02-04,103.55466332528603,104.19664506140442,101.61367166999055,102.49639655715336,29608900.0
